3,orders,service_cpu,1,"[('orders', 0.5405420020268137)]",{'orders'}
3,user,service_cpu,1,"[('user', 0.5405396329646596)]",{'user'}
3,carts,service_cpu,1,"[('carts', 0.5405396329646596)]",{'carts'}
3,payment,service_cpu,10,[],set()
3,shipping,service_cpu,1,"[('shipping', 0.5405398932771217)]",{'shipping'}
3,catalogue,service_memory,1,"[('catalogue', 0.5405398932771217)]",{'catalogue'}
3,orders,service_memory,1,"[('orders', 0.5405420020268137)]",{'orders'}
3,user,service_memory,2,"[('front-end', 0.40019089001308417), ('user', 0.2579862901232145)]","{'catalogue', 'user', 'orders'}"
3,carts,service_memory,1,"[('carts', 0.5405396329646596)]",{'carts'}
3,payment,service_memory,3,"[('front-end', 0.35553311675764987), ('orders', 0.23766360175950746), ('payment', 0.1932025300689364)]","{'catalogue', 'payment', 'user', 'orders'}"
3,shipping,service_memory,1,"[('shipping', 0.5405398932771217)]",{'shipping'}
4,front-end,svc_latency,1,"[('front-end', 0.3053182411546196)]","{'catalogue', 'front-end', 'carts', 'user', 'orders'}"
4,catalogue,svc_latency,1,"[('catalogue', 0.5405398932771217)]",{'catalogue'}
4,orders,svc_latency,1,"[('orders', 0.3261814228278323)]","{'shipping', 'payment', 'carts', 'user', 'orders'}"
4,user,svc_latency,1,"[('user', 0.39035807866055017)]","{'user', 'orders'}"
4,carts,svc_latency,1,"[('carts', 0.43818819031860956)]","{'carts', 'orders'}"
4,payment,svc_latency,1,"[('payment', 0.35946642614042035)]","{'payment', 'orders'}"
4,shipping,svc_latency,1,"[('shipping', 0.3757602644658643)]","{'shipping', 'orders'}"
4,catalogue,service_cpu,2,"[('front-end', 0.4594613643153909), ('catalogue', 0.4305341050051167)]","{'catalogue', 'orders'}"
4,orders,service_cpu,1,"[('orders', 0.5405420020268137)]",{'orders'}
4,user,service_cpu,1,"[('user', 0.5405396329646596)]",{'user'}
4,carts,service_cpu,1,"[('carts', 0.371671276665688)]","{'catalogue', 'carts'}"
4,payment,service_cpu,7,"[('front-end', 0.4201599643233611), ('catalogue', 0.2754054807335173), ('orders', 0.15643058049028644), ('user', 0.14800397445283506), ('shipping', 0.0), ('carts', 0.0), ('payment', 0.0)]","{'catalogue', 'user', 'orders'}"
4,shipping,service_cpu,4,"[('front-end', 0.297374322382605), ('orders', 0.21152028869831865), ('carts', 0.1417558522901923), ('shipping', 0.09658362045841482)]","{'shipping', 'front-end', 'carts', 'orders'}"
4,catalogue,service_memory,2,"[('front-end', 0.4420708518668568), ('catalogue', 0.40709214667431776)]","{'catalogue', 'carts', 'orders'}"
